( Adventure0000 "I can suspend your adventure for you so you can resume later, but you will have to wait at least one minutes before continuing.")
( Adventure0001 "You scored two out of a possible three using four turns.")
( Adventure0002 "This adventure was suspended a mere five minutes ago.")
( Adventure0003 "To achieve the next higher rating, you need six more points.")
( Adventure0004 "There are seven threatening little dwarves in the room with you.")
( Adventure0005 "Invalid data section number: eight.")
( Adventure0006 "nine of them throw knives at you!")
( Adventure0007 "ten of them get you!")
( Adventure0008 "I can suspend your adventure for you so you can resume later, but you will have to wait at least eleven minutes before continuing.")
( Adventure0009 "You scored twelve out of a possible thirteen using fourteen turns.")
( Adventure0010 "This adventure was suspended a mere fifteen minutes ago.")
( Adventure0011 "To achieve the next higher rating, you need sixteen more points.")
( Adventure0012 "There are seventeen threatening little dwarves in the room with you.")
( Adventure0013 "Invalid data section number: eighteen.")
( Adventure0014 "nineteen of them throw knives at you!")
( Adventure0015 "twenty of them get you!")
( Adventure0016 "I can suspend your adventure for you so you can resume later, but you will have to wait at least thirty minutes before continuing.")
( Adventure0017 "You scored fourty out of a possible fifty using 60 turns.")
( Adventure0018 "This adventure was suspended a mere seventy minutes ago.")
( Adventure0019 "To achieve the next higher rating, you need eighty more points.")
( Adventure0020 "There are ninety threatening little dwarves in the room with you.")
( Adventure0021 "Invalid data section number: twenty three.")
( Adventure0022 "thirty seven of them throw knives at you!")
( Adventure0023 "fourty nine of them get you!")
( Adventure0024 "I can suspend your adventure for you so you can resume later, but you will have to wait at least fifty one minutes before continuing.")
( Adventure0025 "You scored sixty two out of a possible seventy four using eighty six turns.")
( Adventure0026 "This adventure was suspended a mere ninety eight minutes ago.")
( Adventure0027 "To achieve the next higher rating, you need twenty five more points.")
( Adventure0028 "There are thirty four threatening little dwarves in the room with you.")
( Adventure0029 "Invalid data section number: fourty two.")
( Adventure0030 "fifty seven of them throw knives at you!")
( Adventure0031 "sixty six of them get you!")
( Adventure0032 "Colossal cave is closed nine AM to five PM Monday through Friday except holidays.")
( Adventure0033 "Please tell jim@rand.org that fatal bug one happened.")
( Adventure0034 "I am prepared to give you a hint, but it will cost you two points.")
( Adventure0035 "If you were to quit now, you would score four out of a possible three.")
( Adventure0036 "Hash table overflow.")
( Adventure0037 "To achieve the next higher rating, you need one more point.")
( Adventure0038 "To achieve the next higher rating would be a neat trick!")
( Adventure0039 "Congratulations!!")
( Adventure0040 "You just went off my scale!!!")
( Adventure0041 "This adventure was suspended a mere one minute ago.")
( Adventure0042 "What would you like to call the saved version?")
( Adventure0043 "'With these rooms I might now have been familiarly acquainted.'")
( Adventure0044 "can't open file")
( Adventure0045 "I see no lamp here")
( Adventure0046 "I see no lantern here")
( Adventure0047 "I see no light here")
( Adventure0048 "I see no headlight here")
( Adventure0049 "I see no head lamp here")
( Adventure0050 "I see no rock here")
( Adventure0051 "I see no surface here")
( Adventure0052 "I see no battery here")
( Adventure0053 "I see no carpet here")
( Adventure0054 "I see no barrel here")
( Adventure0055 "I see no gold here")
( Adventure0056 "I see no gold nugget here")
( Adventure0057 "I see no diamond here")
( Adventure0058 "I see no silver here")
( Adventure0059 "I see no silver bars here")
( Adventure0060 "I see no jewel here")
( Adventure0061 "I see no coins here")
( Adventure0062 "I see no chest here")
( Adventure0063 "I see no box here")
( Adventure0064 "I see no treasure here")
( Adventure0065 "I see no eggs here")
( Adventure0066 "I see no egg here")
( Adventure0067 "I see no nest here")
( Adventure0068 "I see no trident here")
( Adventure0069 "I see no ming vase here")
( Adventure0070 "I see no vase here")
( Adventure0071 "I see no shards of pottery here")
( Adventure0072 "I see no pottery here")
( Adventure0073 "I see no emerald here")
( Adventure0074 "I see no platinum here")
( Adventure0075 "I see no vending machine here")
( Adventure0076 "I see no knife here")
( Adventure0077 "I see no pyramid here")
( Adventure0078 "I see no platinum pyramid here")
( Adventure0079 "I see no pearl here")
( Adventure0080 "I see no persian rug here")
( Adventure0081 "I see no rug here")
( Adventure0082 "I see no spices here")
( Adventure0083 "I see no chain here")
( Adventure0084 "I see no knives here")
( Adventure0085 "I see no food here")
( Adventure0086 "I see no rations here")
( Adventure0087 "I see no bottle here")
( Adventure0088 "I see no jar here")
( Adventure0089 "I see no water here")
( Adventure0090 "I see no oil here")
( Adventure0091 "I see no debris here")
( Adventure0092 "I see no shell here")
( Adventure0093 "I see no keys here")
( Adventure0094 "I see no key here")
( Adventure0095 "I see no grate here")
( Adventure0096 "I see no cage here")
( Adventure0097 "I see no pillow here")
( Adventure0098 "I see no velvet here")
( Adventure0099 "I see no tablet here")
( Adventure0100 "I see no magazine here")
( Adventure0101 "I see no issue here")
( Adventure0102 "I see no spelunker today here")
( Adventure0103 "I see no mirror here")
( Adventure0104 "I see no beanstalk here")
( Adventure0105 "I see no mist here")
( Adventure0106 "I see no lock here")
( Adventure0107 "I see no oyster here")
( Adventure0108 "I see no clam here")
( Adventure0109 "I see no bear here")
( Adventure0110 "I see no axe here")
( Adventure0111 "I see no troll here")
( Adventure0112 "I see no wand here")
( Adventure0113 "I see no rod here")
( Adventure0114 "I see no dragon here")
( Adventure0115 "I see no bird here")
( Adventure0116 "I see no pirate here")
